JobID,app_total_time_ms,app_start,app_end,num_concurrent_jobs,total_concurrent_nodes,concurrent_nodes_in_same_group,min_group_ratio,max_group_ratio,avg_group_ratio,user_alloc_dict,user_alloc_dict_trimmed
2997364,381489.3,2025-02-03 12:11:43,2025-02-03 12:32:38,116,9674,4462,0.9453125,1.171875,1.0295138888888888,"{'rzamora_med126_mde': 128, 'tpaul': 128, 'wilson': 320, 'emin': 64, 'jyw': 102, 'kgoc': 140, 'kmonika': 8, 'lzhang23': 968, 'mcamacho': 92, 'vaibhav_016': 64, 'antonka': 30, 'terai': 96, 'mlynch': 1944, 'rbrady': 8, 'detar': 576, 'g7h': 92, 'novarios': 1882, 'dsambit': 300, 'ozier': 2, 'pauljanson002': 20, 'spencermoore': 95, 'mdesco': 20, 'rjmorelock': 170, 'maxidalinger': 30, 'ljin': 512, 'spancer': 50, 'kincaidkc': 12, 'junqi': 4, 'monojoy': 6, 'cql0536': 84, 'sabrina.desoto': 3, 'kringel': 96, 'mjankous': 644, 'cdutra': 116, 'tajinder': 4, 'hyk1997': 8, 'ljh5914': 8, 'glaser': 512, 'mjseneca': 20, 'jmgonza': 4, 'keshprad': 192, 'phdias': 8, 'syamamoto': 102, 'taylorm': 0, 'sokyay': 20, 'cagonzal': 4, 'mpetersen': 4, 'hmwoods': 96}","{'rzamora_med126_mde': 128, 'tpaul': 128, 'wilson': 320, 'emin': 64, 'jyw': 102, 'kgoc': 140, 'lzhang23': 968, 'mcamacho': 92, 'vaibhav_016': 32, 'antonka': 30, 'terai': 96, 'mlynch': 1944, 'rbrady': 8, 'detar': 576, 'g7h': 92, 'novarios': 1882, 'dsambit': 300, 'pauljanson002': 18, 'spencermoore': 95, 'mdesco': 8, 'rjmorelock': 170, 'maxidalinger': 30, 'ljin': 512, 'spancer': 50, 'kincaidkc': 12, 'monojoy': 6, 'cql0536': 84, 'sabrina.desoto': 3, 'kringel': 96, 'mjankous': 644, 'cdutra': 116, 'tajinder': 4, 'hyk1997': 8, 'ljh5914': 8, 'glaser': 512, 'mjseneca': 20, 'jmgonza': 4, 'keshprad': 192, 'phdias': 6, 'taylorm': 0, 'sokyay': 20, 'cagonzal': 4, 'mpetersen': 4, 'hmwoods': 96}"
3018783,380963.39999999997,2025-02-06 12:02:25,2025-02-06 12:08:56,70,9551,1829,1.0703125,1.21875,1.1791666666666667,"{'tpaul': 128, 'wilson': 320, 'ngoav': 200, 'emin': 64, 'rahul29': 825, 'mpw2': 230, 'skhatua': 512, 'terai': 384, 'dvelascogonzalez': 256, 'chulwoo': 288, 'khanakb': 256, 'spencermoore': 95, 'mdesco': 28, 'nkaaz': 2, 'cuw': 12, 'kavanase': 16, 'kgoc': 64, 'arodas': 1926, 'blackst': 256, 'antonka': 30, 'wendyrw': 128, 'tmaier': 200, 'sauetest': 1500, 'langx': 2, 'zcshr0863': 120, 'halx': 2, 'mcamacho': 16, 'vaibhav_016': 192, 'tejasvaidhya': 64, 'htv2008': 3005, 'dcl3nd': 2, 'hyuan': 30, 'noel': 64, 'kurihana': 4, 'jschuchart': 4, 'sbistany': 10, 'ldulac': 96, 'irinarish': 64, 'jfiller4_stf043_mde': 64, 'aaryanbhagat': 64, 'pinaster': 8, 'keshprad': 128, 'sabrina.desoto': 72}","{'tpaul': 128, 'wilson': 320, 'ngoav': 200, 'emin': 64, 'rahul29': 825, 'mpw2': 230, 'skhatua': 512, 'terai': 384, 'dvelascogonzalez': 256, 'chulwoo': 288, 'khanakb': 256, 'spencermoore': 95, 'mdesco': 12, 'nkaaz': 2, 'cuw': 4, 'kgoc': 64, 'arodas': 1926, 'blackst': 256, 'antonka': 30, 'wendyrw': 128, 'tmaier': 200, 'sauetest': 1500, 'langx': 2, 'zcshr0863': 120, 'mcamacho': 16, 'vaibhav_016': 192, 'tejasvaidhya': 64, 'htv2008': 3000, 'hyuan': 30, 'noel': 64, 'jschuchart': 4, 'sbistany': 10, 'ldulac': 96, 'irinarish': 64, 'jfiller4_stf043_mde': 64, 'aaryanbhagat': 64, 'keshprad': 128, 'sabrina.desoto': 72}"
2983632,380320.4,2025-01-29 01:49:57,2025-01-29 02:11:57,60,9705,4651,0.9921875,1.3984375,1.2533783783783783,"{'sschnauck': 96, 'tpaul': 64, 'kgoc': 40, 'syamamoto': 2, 'vaibhav_016': 64, 'nmandell': 15, 'arpans': 2688, 'chulwoo': 16, 'g7h': 92, 'debk': 5654, 'ddv0': 32, 'jyw': 342, 'eromero': 506, 'ljin': 128, 'heehw': 16, 'nkaaz': 20, 'pauljanson002': 2, 'htchen': 108, 'monojoy': 4, 'spencermoore': 48, 'emsi': 30, 'kringel': 16, 'walksloud': 12, 'wuda': 0, 'kurihana': 16, 'keshprad': 128, 'ozier': 2, 'sbistany': 6, 'aaryanbhagat': 32, 'tejasexpress': 32, 'sshanka': 32, 'tejasvaidhya': 64, 'lrknox': 4, 'irinarish': 32, 'acmetest': 4, 'tijmen': 4}","{'sschnauck': 96, 'tpaul': 64, 'vaibhav_016': 64, 'arpans': 2688, 'g7h': 92, 'debk': 5654, 'ddv0': 32, 'jyw': 342, 'eromero': 506, 'ljin': 128, 'nkaaz': 10, 'htchen': 108, 'monojoy': 4, 'spencermoore': 48, 'emsi': 6, 'kringel': 16, 'wuda': 0, 'kurihana': 10, 'keshprad': 128, 'sbistany': 6, 'aaryanbhagat': 32, 'tejasexpress': 32, 'sshanka': 32, 'tejasvaidhya': 64, 'irinarish': 32, 'acmetest': 2, 'tijmen': 2}"
3100712,298619.6,2025-02-26 23:37:59,2025-02-26 23:43:05,72,8062,1067,0.7890625,0.875,0.83359375,"{'gopeshh': 32, 'istabrak': 64, 'arnoldjr': 185, 'fzabaleta': 12, 'bagchi': 501, 'hyk1997': 48, 'rahul29': 450, 'waidmann': 20, 'chulwoo': 16, 'nizar17': 32, 'sschnauck': 34, 'kincaidkc': 8, 'pnathan6': 544, 'dvelascogonzalez': 256, 'brhillman': 2058, '1eh': 200, 'lebars': 100, 'nsaini': 100, 'm4f': 184, 'mcamacho': 94, 'rajan1': 1728, 'tmaier': 200, 'mrieth': 8, 'kavanase': 8, 'syeom': 96, 'pschoenh': 160, 'sfilig': 96, 'maha': 128, 'maxidalinger': 76, 'emin': 64, 'abdulwahab': 200, 'mdesco': 8, 'cosdis': 160, 'thomasmalkus': 60, 'htchen': 20, 'wendyrw': 2, 'vaibhav_016': 64, 'prajwal': 4, 'vsharma5': 8, 'spoole': 32, 'ozier': 2}","{'gopeshh': 32, 'istabrak': 64, 'arnoldjr': 185, 'fzabaleta': 12, 'bagchi': 501, 'hyk1997': 48, 'rahul29': 450, 'waidmann': 18, 'chulwoo': 16, 'nizar17': 32, 'sschnauck': 34, 'pnathan6': 512, 'dvelascogonzalez': 256, 'brhillman': 2058, '1eh': 200, 'lebars': 100, 'nsaini': 100, 'm4f': 184, 'mcamacho': 92, 'rajan1': 1728, 'tmaier': 200, 'kavanase': 8, 'syeom': 96, 'pschoenh': 160, 'sfilig': 96, 'maha': 128, 'maxidalinger': 70, 'emin': 64, 'abdulwahab': 200, 'mdesco': 8, 'cosdis': 160, 'thomasmalkus': 60, 'htchen': 12, 'wendyrw': 2, 'vaibhav_016': 64, 'vsharma5': 8, 'spoole': 32}"
3106731,293411.80000000005,2025-02-27 17:40:34,2025-02-27 17:45:34,98,9106,5797,0.8203125,0.9765625,0.90625,"{'bukjoh': 20, 'hyk1997': 48, 'rahul29': 150, 'fzabaleta': 10, 'nizar17': 32, 'sschnauck': 34, 'pnathan6': 32, 'mliska': 32, 'rjmorelock': 190, 'vishalsu': 32, 'jyw': 90, 'mdesco': 12, 'vwslz': 0, 'waidmann': 5, 'margaridarosa': 228, 'rbrady': 24, 'kavanase': 16, 'pschoenh': 100, 'wendyrw': 4, 'dfytanidis': 30, 'wans': 510, 'maxidalinger': 82, 'kayahan': 768, 'vsharma5': 48, 'ymshi': 12, 'sbistany': 12, 'sabrina.desoto': 72, 'mrieth': 8, 'junqi': 16, 'hyuan': 70, 'tjelly': 240, 'cosdis': 130, 'asharma': 100, 'istabrak': 64, 'candy': 72, 'wuda': 0, 'haoshen.yang': 256, 'ebelli': 384, 'ayushkaushal': 32, 'vie': 581, 'arnoldjr': 13, 'pdoak': 1000, 'keshprad': 256, 'langx': 6, 'dbollweg': 120, 'jmiratsky': 8, 'mcamacho': 92, 'yhuang2': 2}","{'bukjoh': 20, 'hyk1997': 16, 'rahul29': 150, 'fzabaleta': 10, 'sschnauck': 34, 'pnathan6': 32, 'rjmorelock': 190, 'vwslz': 0, 'waidmann': 3, 'margaridarosa': 114, 'rbrady': 8, 'kavanase': 8, 'pschoenh': 100, 'wendyrw': 4, 'wans': 510, 'maxidalinger': 66, 'kayahan': 512, 'vsharma5': 16, 'ymshi': 12, 'sbistany': 6, 'sabrina.desoto': 72, 'mrieth': 8, 'junqi': 16, 'tjelly': 240, 'asharma': 100, 'wuda': 0, 'haoshen.yang': 256, 'ebelli': 384, 'vie': 581, 'arnoldjr': 13, 'pdoak': 1000, 'keshprad': 256, 'langx': 6, 'dbollweg': 120, 'mcamacho': 92}"
2992558,316337.60000000003,2025-02-01 13:00:52,2025-02-01 13:20:53,69,9685,1714,1.03125,1.109375,1.0758928571428572,"{'rzamora_med126_mde': 128, 'chulwoo': 16, 'tpaul': 128, 'emin': 64, 'margaridarosa': 171, 'yanfei': 1184, 'mdesco': 12, 'rahul29': 400, 'khanakb': 256, 'mlynch': 3726, 'irinarish': 80, 'aaryanbhagat': 80, 'tejasvaidhya': 48, 'adebus': 16, 'ddv0': 1120, 'kmonika': 8, 'fzabaleta': 20, 'kgoc': 40, 'kakkapriyesh': 10, 'emsi': 11, 'sschnauck': 32, 'g7h': 92, 'detar': 96, 'tejasexpress': 64, 'rbrady': 8, 'vaibhav_016': 64, 'cuw': 4, 'mjankous': 100, 'shku': 128, 'antonka': 30, 'spencermoore': 95, 'dsambit': 50, 'maxidalinger': 20, 'polunma': 0, 'eromero': 777, 'istabrak': 32, 'dcl3nd': 2, 'mswu': 64, 'keshprad': 128, 'rhankins': 32, 'palashmr': 4, 'txn5176': 40}","{'rzamora_med126_mde': 128, 'tpaul': 128, 'emin': 64, 'margaridarosa': 171, 'yanfei': 1184, 'mdesco': 8, 'rahul29': 400, 'khanakb': 256, 'mlynch': 3726, 'irinarish': 80, 'aaryanbhagat': 48, 'tejasvaidhya': 48, 'adebus': 16, 'ddv0': 1120, 'fzabaleta': 20, 'kgoc': 40, 'kakkapriyesh': 5, 'g7h': 92, 'detar': 96, 'tejasexpress': 64, 'rbrady': 8, 'vaibhav_016': 64, 'mjankous': 100, 'shku': 128, 'spencermoore': 95, 'dsambit': 50, 'maxidalinger': 20, 'polunma': 0, 'eromero': 777, 'istabrak': 32, 'dcl3nd': 2, 'mswu': 64, 'keshprad': 128, 'rhankins': 32, 'palashmr': 4, 'txn5176': 40}"
2989986,316828.8,2025-01-31 02:38:26,2025-01-31 02:58:05,48,9725,3499,0.890625,1.0,0.9765625,"{'rzamora_med126_mde': 128, 'kgoc': 40, 'junsik': 432, 'rajan1': 432, 'skim53': 164, 'syamamoto': 2, 'sshanka': 8, 'mdesco': 4, 'pauljanson002': 2, 'jyc': 8, 'thickling': 42, 'wendyrw': 3, 'emsi': 11, 'arpans': 2496, 'debk': 3769, 'tdk23': 12, 'tajinder': 4, 'chulwoo': 32, 'ozier': 2, 'heehw': 32, 'anikat1': 8, 'novarios': 1882, 'kmonika': 8, 'morning': 8, 'maxidalinger': 10, 'fzabaleta': 8, 'lhatashita3': 4, 'handih': 3, 'tejasexpress': 32, 'vaibhav_016': 32, 'keshprad': 8, 'langx': 22, 'cdutra': 30, 'aaryanbhagat': 32, 'kakkapriyesh': 5, 'tejasvaidhya': 32, 'lrknox': 2, 'acmetest': 2}","{'rzamora_med126_mde': 128, 'kgoc': 40, 'junsik': 432, 'rajan1': 432, 'skim53': 164, 'sshanka': 8, 'mdesco': 4, 'pauljanson002': 2, 'thickling': 42, 'arpans': 2496, 'debk': 3769, 'tdk23': 12, 'heehw': 32, 'novarios': 1882, 'morning': 8, 'maxidalinger': 10, 'fzabaleta': 8, 'handih': 3, 'tejasexpress': 32, 'vaibhav_016': 32, 'keshprad': 8, 'aaryanbhagat': 32, 'tejasvaidhya': 32, 'lrknox': 2, 'acmetest': 2}"
2973842,321563.0,2025-01-25 02:50:50,2025-01-25 03:10:47,37,9706,4246,1.0859375,1.21875,1.158547794117647,"{'rzamora_med126_mde': 128, 'emin': 64, 'gopeshh': 32, 'syamamoto': 2, 'sonchac': 32, 'chulwoo': 4, 'rahul29': 335, 'eromero': 4048, 'langx': 8, 'scf2157': 8, 'vaibhav_016': 64, 'debk': 5749, 'kakkapriyesh': 5, 'walksloud': 12, 'cuw': 4, 'lukedaq': 48, 'keshprad': 64, 'mdesco': 6, 'tejasvaidhya': 64, 'istabrak': 32, 'sohailt': 2, 'acmetest': 8, 'khalids': 16}","{'rzamora_med126_mde': 128, 'emin': 64, 'sonchac': 32, 'rahul29': 335, 'eromero': 4048, 'vaibhav_016': 32, 'debk': 5749, 'walksloud': 12, 'cuw': 4, 'lukedaq': 48, 'keshprad': 64, 'mdesco': 4, 'tejasvaidhya': 64, 'istabrak': 32, 'acmetest': 8, 'khalids': 16}"
2975294,382391.5,2025-01-26 06:28:07,2025-01-26 06:49:22,29,9680,4346,0.984375,1.375,1.2763392857142857,"{'kgoc': 80, 'sschnauck': 32, 'fzabaleta': 16, 'chulwoo': 4, 'gopeshh': 32, 'jubchoi': 64, 'emsi': 9, 'mjseneca': 14, 'eromero': 1503, 'sauetest': 2000, 'ridul': 1882, 'glaser': 256, 'hsu_andy': 2016, 'debk': 3769, 'wuda': 338, 'walksloud': 12, 'aaryanbhagat': 64, 'tejasvaidhya': 64, 'irinarish': 64, 'mhategan': 6}","{'sschnauck': 32, 'fzabaleta': 16, 'gopeshh': 32, 'jubchoi': 64, 'emsi': 9, 'eromero': 1503, 'sauetest': 2000, 'ridul': 1882, 'glaser': 256, 'hsu_andy': 2016, 'debk': 3769, 'wuda': 338, 'aaryanbhagat': 64, 'tejasvaidhya': 64, 'irinarish': 64, 'mhategan': 6}"
2977015,318244.8,2025-01-27 00:31:40,2025-01-27 00:51:27,61,9700,1330,1.2734375,1.5078125,1.4154829545454546,"{'rzamora_med126_mde': 128, 'chulwoo': 16, 'irinarish': 32, 'tejasexpress': 96, 'rahul29': 240, 'skhatua': 512, 'sschnauck': 16, 'kakkapriyesh': 10, 'kgoc': 40, 'sshanka': 32, 'gopeshh': 32, 'jhammer': 64, 'rajan1': 432, 'emsi': 12, 'nizar17': 32, 'kartickr': 24, 'eromero': 1511, 'zhangp': 11, 'mjseneca': 14, 'debk': 9518, 'mdesco': 16, 'mpw2': 40, 'asthana': 16, 'pauljanson002': 2, 'lukedaq': 48, 'xf9': 4, 'tejasvaidhya': 64, 'jdtun': 42, 'wuda': 1690, 'maxidalinger': 6, 'vaibhav_016': 32, 'shku': 48, 'glaser': 112, 'acmetest': 6, 'jahatef': 2}","{'rzamora_med126_mde': 128, 'irinarish': 32, 'tejasexpress': 96, 'rahul29': 240, 'skhatua': 512, 'sschnauck': 16, 'sshanka': 32, 'gopeshh': 32, 'jhammer': 64, 'rajan1': 432, 'emsi': 12, 'nizar17': 32, 'kartickr': 24, 'eromero': 1511, 'zhangp': 11, 'mjseneca': 14, 'debk': 9518, 'mdesco': 12, 'mpw2': 40, 'pauljanson002': 2, 'lukedaq': 48, 'tejasvaidhya': 64, 'jdtun': 42, 'wuda': 1690, 'vaibhav_016': 32, 'shku': 48, 'glaser': 112, 'acmetest': 6, 'jahatef': 2}"
3040654,313184.1,2025-02-13 12:11:41,2025-02-13 12:17:07,43,9732,3476,0.8828125,0.9921875,0.9701450892857143,"{'emin': 64, 'istabrak': 64, 'vishalsu': 32, 'skhatua': 512, 'kavanase': 16, 'nkaaz': 2, 'yanfei': 1184, 'rayasare': 207, 'lzhang23': 968, 'dvelascogonzalez': 256, 'pnathan6': 256, 'tmaier': 200, 'ahmed97': 400, 'kayahan': 3072, 'brhillman': 2058, 'mjseneca': 20, 'rahul29': 70, 'palashmr': 4, 'kakkapriyesh': 10, 'rbrady': 8, 'zingale': 32, 'wendyrw': 2, 'naughton': 2, 'hyuan': 100, 'aflorenzon': 32, 'sbistany': 6, 'sreejith': 32, 'bikash': 32, 'cuw': 8, 'tejasvaidhya': 64, 'junqi': 16, 'nafinm': 2, 'ghu4': 2}","{'emin': 64, 'istabrak': 64, 'vishalsu': 32, 'skhatua': 512, 'kavanase': 16, 'nkaaz': 2, 'yanfei': 1184, 'rayasare': 207, 'lzhang23': 968, 'dvelascogonzalez': 256, 'pnathan6': 256, 'tmaier': 200, 'ahmed97': 400, 'kayahan': 3072, 'brhillman': 2058, 'mjseneca': 20, 'rahul29': 70, 'palashmr': 4, 'kakkapriyesh': 10, 'rbrady': 8, 'zingale': 32, 'wendyrw': 2, 'naughton': 2, 'hyuan': 100, 'aflorenzon': 32, 'sbistany': 6, 'sreejith': 32, 'bikash': 32, 'cuw': 8, 'tejasvaidhya': 64, 'junqi': 16, 'nafinm': 2, 'ghu4': 2}"
2974786,457419.69999999995,2025-01-25 16:50:08,2025-01-25 17:13:10,42,9681,5503,0.9765625,1.25,1.1024502840909092,"{'kgoc': 40, 'emin': 64, 'aaryanbhagat': 96, 'margaridarosa': 114, 'syamamoto': 2, 'sschnauck': 50, 'istabrak': 34, 'tpaul': 64, 'kakkapriyesh': 10, 'chulwoo': 2, 'arpans': 192, 'gopeshh': 32, 'emsi': 9, 'htchen': 27, 'lukedaq': 48, 'junqi': 84, 'debk': 4269, 'eromero': 2505, 'tejasexpress': 64, 'novarios': 1882, 'irinarish': 64, 'wendyrw': 3, 'tejasvaidhya': 64, 'dvelascogonzalez': 512, 'shku': 48, 'keshprad': 80, 'vaibhav_016': 32, 'sshanka': 16, 'glaser': 256}","{'emin': 64, 'aaryanbhagat': 96, 'margaridarosa': 114, 'syamamoto': 2, 'sschnauck': 50, 'istabrak': 2, 'tpaul': 64, 'kakkapriyesh': 5, 'chulwoo': 2, 'arpans': 192, 'gopeshh': 32, 'emsi': 9, 'htchen': 27, 'lukedaq': 48, 'junqi': 84, 'debk': 4269, 'eromero': 2505, 'tejasexpress': 64, 'novarios': 1882, 'irinarish': 64, 'wendyrw': 3, 'tejasvaidhya': 64, 'dvelascogonzalez': 512, 'shku': 48, 'keshprad': 80, 'vaibhav_016': 32, 'glaser': 256}"
